/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (17,18,19,20,21) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:306: DtypeWarning: Columns (16,17,18) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 25.117454528808594, acc1 is 0.1953125, acc5 is 1.171875, cma_loss is 12.560890197753906, uma_loss is 12.556564331054688

  2%|███████▎                                                                                                                                                                                                                                                                                                                         | 32/1406 [00:10<05:16,  4.34it/s]
loss is 25.539752960205078, acc1 is 0.29296875, acc5 is 1.26953125, cma_loss is 13.308475494384766, uma_loss is 12.231277465820312
loss is 23.632396697998047, acc1 is 0.1953125, acc5 is 1.7578125, cma_loss is 12.550765991210938, uma_loss is 11.08163070678711
loss is 22.310138702392578, acc1 is 0.29296875, acc5 is 1.3671875, cma_loss is 12.425621032714844, uma_loss is 9.884517669677734
loss is 20.242881774902344, acc1 is 0.09765625, acc5 is 1.85546875, cma_loss is 12.30767822265625, uma_loss is 7.935203552246094
loss is 19.527816772460938, acc1 is 0.390625, acc5 is 1.953125, cma_loss is 12.296630859375, uma_loss is 7.2311859130859375
loss is 18.83811378479004, acc1 is 0.48828125, acc5 is 1.66015625, cma_loss is 12.436988830566406, uma_loss is 6.401124954223633
loss is 18.813283920288086, acc1 is 0.1953125, acc5 is 1.26953125, cma_loss is 12.943313598632812, uma_loss is 5.869970321655273
loss is 18.191892623901367, acc1 is 0.29296875, acc5 is 1.5625, cma_loss is 12.364463806152344, uma_loss is 5.827428817749023
loss is 17.620107650756836, acc1 is 0.390625, acc5 is 1.85546875, cma_loss is 12.227584838867188, uma_loss is 5.392522811889648
loss is 17.158063888549805, acc1 is 0.29296875, acc5 is 1.953125, cma_loss is 12.107498168945312, uma_loss is 5.050565719604492
loss is 17.331144332885742, acc1 is 0.1953125, acc5 is 2.24609375, cma_loss is 12.103218078613281, uma_loss is 5.227926254272461
loss is 16.98484992980957, acc1 is 0.1953125, acc5 is 2.5390625, cma_loss is 12.022342681884766, uma_loss is 4.962507247924805
loss is 16.81539535522461, acc1 is 0.29296875, acc5 is 2.24609375, cma_loss is 11.991455078125, uma_loss is 4.823940277099609
loss is 16.695171356201172, acc1 is 0.390625, acc5 is 2.9296875, cma_loss is 11.990928649902344, uma_loss is 4.704242706298828
loss is 16.577247619628906, acc1 is 0.5859375, acc5 is 2.63671875, cma_loss is 11.845222473144531, uma_loss is 4.732025146484375
loss is 16.594053268432617, acc1 is 0.5859375, acc5 is 3.22265625, cma_loss is 11.796367645263672, uma_loss is 4.797685623168945
loss is 16.485992431640625, acc1 is 0.5859375, acc5 is 3.41796875, cma_loss is 11.783435821533203, uma_loss is 4.702556610107422
loss is 16.291378021240234, acc1 is 0.87890625, acc5 is 3.3203125, cma_loss is 11.694297790527344, uma_loss is 4.597080230712891
loss is 16.350114822387695, acc1 is 0.29296875, acc5 is 3.125, cma_loss is 11.67721176147461, uma_loss is 4.672903060913086
loss is 16.315671920776367, acc1 is 0.48828125, acc5 is 2.83203125, cma_loss is 11.733146667480469, uma_loss is 4.582525253295898
loss is 15.958866119384766, acc1 is 0.68359375, acc5 is 3.515625, cma_loss is 11.541141510009766, uma_loss is 4.417724609375
loss is 15.91946029663086, acc1 is 0.48828125, acc5 is 3.61328125, cma_loss is 11.482269287109375, uma_loss is 4.437191009521484
loss is 15.838068008422852, acc1 is 0.87890625, acc5 is 3.41796875, cma_loss is 11.543540954589844, uma_loss is 4.294527053833008
loss is 15.868094444274902, acc1 is 0.68359375, acc5 is 3.515625, cma_loss is 11.642585754394531, uma_loss is 4.225508689880371
loss is 15.523179054260254, acc1 is 1.171875, acc5 is 3.80859375, cma_loss is 11.49460220336914, uma_loss is 4.028576850891113
