/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (17,18,19,20,21) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:306: DtypeWarning: Columns (16,17,18) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 25.117454528808594, acc1 is 0.1953125, acc5 is 1.171875, cma_loss is 12.560890197753906, uma_loss is 12.556564331054688

  2%|███████▎                                                                                                                                                                                                                                                                                                                         | 32/1406 [00:10<05:17,  4.33it/s]
loss is 25.53969955444336, acc1 is 0.29296875, acc5 is 1.171875, cma_loss is 13.308460235595703, uma_loss is 12.231239318847656
loss is 23.63177490234375, acc1 is 0.1953125, acc5 is 1.7578125, cma_loss is 12.550834655761719, uma_loss is 11.080940246582031
loss is 22.310680389404297, acc1 is 0.390625, acc5 is 1.3671875, cma_loss is 12.425727844238281, uma_loss is 9.884952545166016
loss is 20.242408752441406, acc1 is 0.09765625, acc5 is 1.85546875, cma_loss is 12.307624816894531, uma_loss is 7.934783935546875
loss is 19.527236938476562, acc1 is 0.390625, acc5 is 1.953125, cma_loss is 12.29656982421875, uma_loss is 7.2306671142578125
loss is 18.84185028076172, acc1 is 0.48828125, acc5 is 1.66015625, cma_loss is 12.441978454589844, uma_loss is 6.399871826171875
loss is 18.80922508239746, acc1 is 0.1953125, acc5 is 1.26953125, cma_loss is 12.938423156738281, uma_loss is 5.87080192565918
loss is 18.19586944580078, acc1 is 0.29296875, acc5 is 1.5625, cma_loss is 12.368125915527344, uma_loss is 5.8277435302734375
loss is 17.622350692749023, acc1 is 0.390625, acc5 is 1.953125, cma_loss is 12.230079650878906, uma_loss is 5.392271041870117
loss is 17.159208297729492, acc1 is 0.1953125, acc5 is 1.85546875, cma_loss is 12.10845947265625, uma_loss is 5.050748825073242
loss is 17.33013343811035, acc1 is 0.1953125, acc5 is 2.24609375, cma_loss is 12.102310180664062, uma_loss is 5.227823257446289
loss is 16.985734939575195, acc1 is 0.1953125, acc5 is 2.5390625, cma_loss is 12.022941589355469, uma_loss is 4.962793350219727
loss is 16.816905975341797, acc1 is 0.1953125, acc5 is 2.34375, cma_loss is 11.99310302734375, uma_loss is 4.823802947998047
loss is 16.696584701538086, acc1 is 0.390625, acc5 is 2.734375, cma_loss is 11.991195678710938, uma_loss is 4.705389022827148
loss is 16.58364486694336, acc1 is 0.5859375, acc5 is 2.5390625, cma_loss is 11.848945617675781, uma_loss is 4.734699249267578
loss is 16.596403121948242, acc1 is 0.5859375, acc5 is 2.9296875, cma_loss is 11.798851013183594, uma_loss is 4.797552108764648
loss is 16.485916137695312, acc1 is 0.48828125, acc5 is 3.515625, cma_loss is 11.781185150146484, uma_loss is 4.704730987548828
loss is 16.297897338867188, acc1 is 0.68359375, acc5 is 3.41796875, cma_loss is 11.69961166381836, uma_loss is 4.598285675048828
loss is 16.365968704223633, acc1 is 0.29296875, acc5 is 2.83203125, cma_loss is 11.688804626464844, uma_loss is 4.677164077758789
loss is 16.316917419433594, acc1 is 0.48828125, acc5 is 2.9296875, cma_loss is 11.732196807861328, uma_loss is 4.584720611572266
loss is 15.963260650634766, acc1 is 0.9765625, acc5 is 3.515625, cma_loss is 11.542648315429688, uma_loss is 4.420612335205078
loss is 15.951255798339844, acc1 is 0.78125, acc5 is 3.61328125, cma_loss is 11.504119873046875, uma_loss is 4.447135925292969
loss is 15.790191650390625, acc1 is 1.07421875, acc5 is 3.7109375, cma_loss is 11.48648452758789, uma_loss is 4.303707122802734
loss is 15.826824188232422, acc1 is 0.29296875, acc5 is 3.515625, cma_loss is 11.576862335205078, uma_loss is 4.249961853027344
loss is 15.607617378234863, acc1 is 0.78125, acc5 is 3.41796875, cma_loss is 11.557369232177734, uma_loss is 4.050248146057129
