/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:306: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 25.137489318847656, acc1 is 0.390625, acc5 is 1.07421875, cma_loss is 12.569679260253906, uma_loss is 12.56781005859375

  2%|███████▎                                                                                                                                                                                                                                                                                                                         | 32/1406 [00:10<05:22,  4.25it/s]
loss is 25.46434783935547, acc1 is 0.29296875, acc5 is 1.46484375, cma_loss is 13.187942504882812, uma_loss is 12.276405334472656
loss is 23.598777770996094, acc1 is 0.390625, acc5 is 1.26953125, cma_loss is 12.590972900390625, uma_loss is 11.007804870605469
loss is 23.383686065673828, acc1 is 0.390625, acc5 is 1.07421875, cma_loss is 13.601173400878906, uma_loss is 9.782512664794922
loss is 21.068744659423828, acc1 is 0.09765625, acc5 is 1.3671875, cma_loss is 12.440933227539062, uma_loss is 8.627811431884766
loss is 20.051952362060547, acc1 is 0.390625, acc5 is 1.7578125, cma_loss is 12.498329162597656, uma_loss is 7.553623199462891
loss is 19.35382843017578, acc1 is 0.5859375, acc5 is 2.24609375, cma_loss is 12.325218200683594, uma_loss is 7.0286102294921875
loss is 18.812116622924805, acc1 is 0.390625, acc5 is 1.85546875, cma_loss is 12.27825927734375, uma_loss is 6.533857345581055
loss is 18.32522964477539, acc1 is 0.390625, acc5 is 1.3671875, cma_loss is 12.26593017578125, uma_loss is 6.059299468994141
loss is 17.918704986572266, acc1 is 0.1953125, acc5 is 1.85546875, cma_loss is 12.162109375, uma_loss is 5.756595611572266
loss is 17.525419235229492, acc1 is 0.390625, acc5 is 2.05078125, cma_loss is 12.186668395996094, uma_loss is 5.338750839233398
loss is 17.212982177734375, acc1 is 0.1953125, acc5 is 1.46484375, cma_loss is 12.083274841308594, uma_loss is 5.129707336425781
loss is 16.92368507385254, acc1 is 0.48828125, acc5 is 2.1484375, cma_loss is 11.969398498535156, uma_loss is 4.954286575317383
loss is 16.803199768066406, acc1 is 0.78125, acc5 is 2.63671875, cma_loss is 12.02008056640625, uma_loss is 4.783119201660156
