/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:306: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 25.137489318847656, acc1 is 0.390625, acc5 is 1.07421875, cma_loss is 12.569679260253906, uma_loss is 12.56781005859375

  2%|███████▎                                                                                                                                                                                                                                                                                                                         | 32/1406 [00:09<05:18,  4.31it/s]
loss is 25.46417236328125, acc1 is 0.29296875, acc5 is 1.46484375, cma_loss is 13.187896728515625, uma_loss is 12.276275634765625
loss is 23.59798812866211, acc1 is 0.29296875, acc5 is 1.26953125, cma_loss is 12.590919494628906, uma_loss is 11.007068634033203
loss is 23.382354736328125, acc1 is 0.390625, acc5 is 1.171875, cma_loss is 13.600593566894531, uma_loss is 9.781761169433594
loss is 21.068004608154297, acc1 is 0.09765625, acc5 is 1.3671875, cma_loss is 12.441001892089844, uma_loss is 8.627002716064453
loss is 20.05059814453125, acc1 is 0.29296875, acc5 is 1.66015625, cma_loss is 12.498382568359375, uma_loss is 7.552215576171875
loss is 19.352386474609375, acc1 is 0.5859375, acc5 is 2.24609375, cma_loss is 12.324958801269531, uma_loss is 7.027427673339844
loss is 18.81063461303711, acc1 is 0.390625, acc5 is 1.66015625, cma_loss is 12.279060363769531, uma_loss is 6.531574249267578
loss is 18.32313346862793, acc1 is 0.29296875, acc5 is 1.26953125, cma_loss is 12.265869140625, uma_loss is 6.05726432800293
loss is 17.91640281677246, acc1 is 0.29296875, acc5 is 1.7578125, cma_loss is 12.16143798828125, uma_loss is 5.754964828491211
loss is 17.525230407714844, acc1 is 0.390625, acc5 is 2.05078125, cma_loss is 12.187126159667969, uma_loss is 5.338104248046875
loss is 17.210084915161133, acc1 is 0.1953125, acc5 is 1.5625, cma_loss is 12.080162048339844, uma_loss is 5.129922866821289
loss is 16.91490364074707, acc1 is 0.5859375, acc5 is 2.05078125, cma_loss is 11.958930969238281, uma_loss is 4.955972671508789
loss is 16.791059494018555, acc1 is 0.68359375, acc5 is 2.44140625, cma_loss is 12.006980895996094, uma_loss is 4.784078598022461
