/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:307: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 25.137489318847656, acc1 is 0.390625, acc5 is 1.07421875, cma_loss is 12.569679260253906, uma_loss is 12.56781005859375

  2%|███████▎                                                                                                                                                                                                                                                                                                                         | 32/1406 [00:07<04:02,  5.67it/s]
loss is 25.464195251464844, acc1 is 0.29296875, acc5 is 1.46484375, cma_loss is 13.187911987304688, uma_loss is 12.276283264160156
loss is 23.59827423095703, acc1 is 0.390625, acc5 is 1.26953125, cma_loss is 12.590927124023438, uma_loss is 11.007347106933594
loss is 23.381977081298828, acc1 is 0.390625, acc5 is 0.9765625, cma_loss is 13.600677490234375, uma_loss is 9.781299591064453
loss is 21.068195343017578, acc1 is 0.09765625, acc5 is 1.3671875, cma_loss is 12.441146850585938, uma_loss is 8.62704849243164
loss is 20.050304412841797, acc1 is 0.29296875, acc5 is 1.66015625, cma_loss is 12.49835205078125, uma_loss is 7.551952362060547
loss is 19.35299301147461, acc1 is 0.5859375, acc5 is 2.24609375, cma_loss is 12.32501220703125, uma_loss is 7.027980804443359
loss is 18.811704635620117, acc1 is 0.390625, acc5 is 1.66015625, cma_loss is 12.278648376464844, uma_loss is 6.533056259155273
loss is 18.324552536010742, acc1 is 0.29296875, acc5 is 1.26953125, cma_loss is 12.265869140625, uma_loss is 6.058683395385742
loss is 17.92015838623047, acc1 is 0.1953125, acc5 is 1.7578125, cma_loss is 12.162078857421875, uma_loss is 5.758079528808594
loss is 17.527042388916016, acc1 is 0.390625, acc5 is 2.05078125, cma_loss is 12.186813354492188, uma_loss is 5.340229034423828
loss is 17.21305274963379, acc1 is 0.1953125, acc5 is 1.5625, cma_loss is 12.082572937011719, uma_loss is 5.13047981262207
loss is 16.92136573791504, acc1 is 0.390625, acc5 is 2.1484375, cma_loss is 11.965476989746094, uma_loss is 4.955888748168945
loss is 16.796768188476562, acc1 is 0.68359375, acc5 is 2.5390625, cma_loss is 12.013320922851562, uma_loss is 4.783447265625
loss is 16.791364669799805, acc1 is 0.1953125, acc5 is 2.44140625, cma_loss is 11.991413116455078, uma_loss is 4.799951553344727
loss is 16.563074111938477, acc1 is 0.5859375, acc5 is 2.44140625, cma_loss is 11.812496185302734, uma_loss is 4.750577926635742
loss is 16.477855682373047, acc1 is 0.29296875, acc5 is 2.734375, cma_loss is 11.865646362304688, uma_loss is 4.612209320068359
loss is 16.24397850036621, acc1 is 0.78125, acc5 is 3.3203125, cma_loss is 11.754997253417969, uma_loss is 4.488981246948242
loss is 16.232784271240234, acc1 is 0.68359375, acc5 is 3.3203125, cma_loss is 11.817604064941406, uma_loss is 4.4151811599731445
loss is 16.066423416137695, acc1 is 0.87890625, acc5 is 3.22265625, cma_loss is 11.708843231201172, uma_loss is 4.357579708099365
loss is 15.861082077026367, acc1 is 0.390625, acc5 is 3.41796875, cma_loss is 11.733512878417969, uma_loss is 4.127569198608398
loss is 15.644830703735352, acc1 is 0.5859375, acc5 is 4.296875, cma_loss is 11.57220458984375, uma_loss is 4.072626113891602
loss is 15.476754188537598, acc1 is 0.9765625, acc5 is 4.1015625, cma_loss is 11.550956726074219, uma_loss is 3.925797462463379
loss is 15.202498435974121, acc1 is 1.07421875, acc5 is 3.61328125, cma_loss is 11.469310760498047, uma_loss is 3.733187675476074
loss is 15.192410469055176, acc1 is 0.78125, acc5 is 2.9296875, cma_loss is 11.512374877929688, uma_loss is 3.6800355911254883
loss is 15.42838191986084, acc1 is 0.87890625, acc5 is 3.125, cma_loss is 11.711116790771484, uma_loss is 3.7172651290893555
loss is 15.343684196472168, acc1 is 0.5859375, acc5 is 2.9296875, cma_loss is 11.674583435058594, uma_loss is 3.669100761413574
