/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:307: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 25.137489318847656, acc1 is 0.390625, acc5 is 1.07421875, cma_loss is 12.569679260253906, uma_loss is 12.56781005859375

  2%|███████▎                                                                                                                                                                                                                                                                                                                         | 32/1406 [00:08<04:03,  5.64it/s]
loss is 25.464332580566406, acc1 is 0.29296875, acc5 is 1.46484375, cma_loss is 13.187919616699219, uma_loss is 12.276412963867188
loss is 23.59821319580078, acc1 is 0.29296875, acc5 is 1.26953125, cma_loss is 12.590782165527344, uma_loss is 11.007431030273438
loss is 23.383617401123047, acc1 is 0.390625, acc5 is 0.9765625, cma_loss is 13.601966857910156, uma_loss is 9.78165054321289
loss is 21.068504333496094, acc1 is 0.09765625, acc5 is 1.3671875, cma_loss is 12.441474914550781, uma_loss is 8.627029418945312
loss is 20.049671173095703, acc1 is 0.390625, acc5 is 1.66015625, cma_loss is 12.498306274414062, uma_loss is 7.551364898681641
loss is 19.352169036865234, acc1 is 0.5859375, acc5 is 2.24609375, cma_loss is 12.325141906738281, uma_loss is 7.027027130126953
loss is 18.810237884521484, acc1 is 0.390625, acc5 is 1.7578125, cma_loss is 12.279365539550781, uma_loss is 6.530872344970703
loss is 18.321622848510742, acc1 is 0.390625, acc5 is 1.26953125, cma_loss is 12.266326904296875, uma_loss is 6.055295944213867
loss is 17.91477394104004, acc1 is 0.1953125, acc5 is 1.7578125, cma_loss is 12.161766052246094, uma_loss is 5.753007888793945
loss is 17.524599075317383, acc1 is 0.390625, acc5 is 2.05078125, cma_loss is 12.188591003417969, uma_loss is 5.336008071899414
loss is 17.209999084472656, acc1 is 0.09765625, acc5 is 1.46484375, cma_loss is 12.082893371582031, uma_loss is 5.127105712890625
loss is 16.91486930847168, acc1 is 0.5859375, acc5 is 2.05078125, cma_loss is 11.964187622070312, uma_loss is 4.950681686401367
loss is 16.786590576171875, acc1 is 0.68359375, acc5 is 2.5390625, cma_loss is 12.010101318359375, uma_loss is 4.7764892578125
loss is 16.781116485595703, acc1 is 0.1953125, acc5 is 2.734375, cma_loss is 11.984954833984375, uma_loss is 4.796161651611328
loss is 16.557758331298828, acc1 is 0.48828125, acc5 is 2.63671875, cma_loss is 11.812637329101562, uma_loss is 4.745121955871582
loss is 16.48168182373047, acc1 is 0.29296875, acc5 is 2.83203125, cma_loss is 11.872726440429688, uma_loss is 4.608955383300781
loss is 16.2347354888916, acc1 is 0.5859375, acc5 is 3.125, cma_loss is 11.753593444824219, uma_loss is 4.481142044067383
loss is 16.237186431884766, acc1 is 0.78125, acc5 is 3.41796875, cma_loss is 11.835372924804688, uma_loss is 4.4018144607543945
loss is 16.055191040039062, acc1 is 0.87890625, acc5 is 3.7109375, cma_loss is 11.710899353027344, uma_loss is 4.344291687011719
loss is 15.928526878356934, acc1 is 0.390625, acc5 is 3.61328125, cma_loss is 11.815887451171875, uma_loss is 4.112639427185059
loss is 15.73322868347168, acc1 is 0.68359375, acc5 is 3.7109375, cma_loss is 11.658355712890625, uma_loss is 4.074872970581055
loss is 15.577485084533691, acc1 is 0.9765625, acc5 is 4.1015625, cma_loss is 11.648822784423828, uma_loss is 3.9286623001098633
loss is 15.478796005249023, acc1 is 0.87890625, acc5 is 3.80859375, cma_loss is 11.679901123046875, uma_loss is 3.7988953590393066
loss is 15.247360229492188, acc1 is 0.68359375, acc5 is 3.125, cma_loss is 11.57004165649414, uma_loss is 3.677318572998047
loss is 15.18824577331543, acc1 is 0.78125, acc5 is 2.9296875, cma_loss is 11.512039184570312, uma_loss is 3.676206588745117
loss is 15.090065002441406, acc1 is 0.29296875, acc5 is 4.1015625, cma_loss is 11.463264465332031, uma_loss is 3.626800537109375
