/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:307: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/home/lijun/anaconda3/envs/ecg/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:1617: FutureWarning: `clean_up_tokenization_spaces` was not set. It will be set to `True` by default. This behavior will be deprecated in transformers v4.45, and will be then set to `False` by default. For more details check this issue: https://github.com/huggingface/transformers/issues/31884
  warnings.warn(
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                              | 0/703 [00:00<?, ?it/s]
loss is 27.84054946899414, acc1 is 0.09765625, acc5 is 0.439453125, cma_loss is 13.878406524658203, uma_loss is 13.962142944335938

  5%|██████████████▋                                                                                                                                                                                                                                                                                                                   | 32/703 [00:12<03:02,  3.68it/s]
loss is 27.552940368652344, acc1 is 0.048828125, acc5 is 0.537109375, cma_loss is 13.89444351196289, uma_loss is 13.658496856689453
loss is 28.53577995300293, acc1 is 0.09765625, acc5 is 0.48828125, cma_loss is 16.3184871673584, uma_loss is 12.217292785644531
loss is 25.378448486328125, acc1 is 0.09765625, acc5 is 0.537109375, cma_loss is 13.925819396972656, uma_loss is 11.452629089355469
loss is 24.34804916381836, acc1 is 0.048828125, acc5 is 0.439453125, cma_loss is 13.848011016845703, uma_loss is 10.500038146972656
loss is 23.218904495239258, acc1 is 0.09765625, acc5 is 0.634765625, cma_loss is 13.851432800292969, uma_loss is 9.367471694946289
loss is 22.455720901489258, acc1 is 0.048828125, acc5 is 0.537109375, cma_loss is 13.83864974975586, uma_loss is 8.617071151733398
loss is 21.956514358520508, acc1 is 0.09765625, acc5 is 0.68359375, cma_loss is 13.813739776611328, uma_loss is 8.14277458190918
loss is 21.688034057617188, acc1 is 0.146484375, acc5 is 0.48828125, cma_loss is 13.832569122314453, uma_loss is 7.855464935302734
loss is 21.50734519958496, acc1 is 0.244140625, acc5 is 0.732421875, cma_loss is 13.810306549072266, uma_loss is 7.697038650512695
loss is 21.2805118560791, acc1 is 0.09765625, acc5 is 0.78125, cma_loss is 13.755622863769531, uma_loss is 7.52488899230957
loss is 21.11833381652832, acc1 is 0.09765625, acc5 is 0.830078125, cma_loss is 13.751934051513672, uma_loss is 7.366399765014648
loss is 20.916584014892578, acc1 is 0.146484375, acc5 is 0.830078125, cma_loss is 13.712764739990234, uma_loss is 7.203818321228027
loss is 20.585552215576172, acc1 is 0.146484375, acc5 is 0.78125, cma_loss is 13.613292694091797, uma_loss is 6.972258567810059
loss is 20.382694244384766, acc1 is 0.1953125, acc5 is 0.927734375, cma_loss is 13.683895111083984, uma_loss is 6.698798179626465
loss is 20.355907440185547, acc1 is 0.244140625, acc5 is 0.87890625, cma_loss is 13.888740539550781, uma_loss is 6.467166900634766
loss is 19.938207626342773, acc1 is 0.1953125, acc5 is 0.927734375, cma_loss is 13.708717346191406, uma_loss is 6.229490280151367
loss is 19.77701759338379, acc1 is 0.1953125, acc5 is 1.171875, cma_loss is 13.580245971679688, uma_loss is 6.196771621704102
loss is 19.700742721557617, acc1 is 0.244140625, acc5 is 1.07421875, cma_loss is 13.612861633300781, uma_loss is 6.087881088256836
loss is 19.527706146240234, acc1 is 0.1953125, acc5 is 0.927734375, cma_loss is 13.513713836669922, uma_loss is 6.013993263244629
loss is 19.49060821533203, acc1 is 0.09765625, acc5 is 1.123046875, cma_loss is 13.530094146728516, uma_loss is 5.960515022277832
loss is 19.36355209350586, acc1 is 0.1953125, acc5 is 1.07421875, cma_loss is 13.485706329345703, uma_loss is 5.877845764160156
loss is 19.300050735473633, acc1 is 0.048828125, acc5 is 0.78125, cma_loss is 13.51443862915039, uma_loss is 5.785612106323242
loss is 19.11160659790039, acc1 is 0.1953125, acc5 is 1.318359375, cma_loss is 13.431461334228516, uma_loss is 5.680146217346191
